Time (s),$ T_{tr} $ (nexaFoam)_Temp,"$ T_{vib, N_2} $ (nexaFoam)_Temp","$ T_{vib, O_2} $ (nexaFoam)_Temp"
4.27e-07,11225.1,16973.8,10923.7
4.28e-07,11231.8,16935.7,10931.1
4.29e-07,11238.5,16897.9,10938.4
4.3e-07,11245.1,16860.2,10945.7
4.31e-07,11251.7,16822.8,10953.0
4.32e-07,11258.3,16785.6,10960.3
4.33e-07,11264.8,16748.6,10967.6
4.34e-07,11271.3,16711.8,10974.9
4.35e-07,11277.7,16675.1,10982.2
4.36e-07,11284.1,16638.7,10989.5
4.37e-07,11290.4,16602.5,10996.7
4.38e-07,11296.7,16566.6,11003.9
4.39e-07,11303.0,16530.8,11011.2
4.4e-07,11309.2,16495.2,11018.4
4.41e-07,11315.4,16459.8,11025.6
4.42e-07,11321.6,16424.7,11032.7
4.43e-07,11327.7,16389.7,11039.9
4.44e-07,11333.7,16354.9,11047.0
4.45e-07,11339.7,16320.4,11054.1
4.46e-07,11345.7,16286.0,11061.2
4.47e-07,11351.7,16251.9,11068.3
4.48e-07,11357.6,16218.0,11075.4
4.49e-07,11363.4,16184.3,11082.4
4.5e-07,11369.3,16150.7,11089.4
4.51e-07,11375.0,16117.4,11096.4
4.52e-07,11380.8,16084.3,11103.4
4.53e-07,11386.5,16051.4,11110.3
4.54e-07,11392.2,16018.7,11117.2
4.55e-07,11397.8,15986.2,11124.1
4.56e-07,11403.4,15953.9,11131.0
4.57e-07,11408.9,15921.8,11137.8
4.58e-07,11414.4,15889.9,11144.7
4.59e-07,11419.9,15858.2,11151.5
4.6e-07,11425.3,15826.7,11158.2
4.61e-07,11430.7,15795.5,11165.0
4.62e-07,11436.1,15764.4,11171.7
4.63e-07,11441.4,15733.5,11178.4
4.64e-07,11446.7,15702.8,11185.0
4.65e-07,11451.9,15672.4,11191.6
4.66e-07,11457.2,15642.1,11198.2
4.67e-07,11462.3,15612.0,11204.8
4.68e-07,11467.5,15582.1,11211.3
4.69e-07,11472.6,15552.4,11217.9
4.7e-07,11477.6,15523.0,11224.3
4.71e-07,11482.6,15493.7,11230.8
4.72e-07,11487.6,15464.6,11237.2
4.73e-07,11492.6,15435.7,11243.6
4.74e-07,11497.5,15407.0,11249.9
4.75e-07,11502.4,15378.5,11256.3
4.76e-07,11507.2,15350.2,11262.6
4.77e-07,11512.0,15322.1,11268.8
4.78e-07,11516.8,15294.2,11275.0
4.79e-07,11521.5,15266.5,11281.2
4.8e-07,11526.2,15239.0,11287.4
